year,R1234YF,R1234ZEE,R227EA,R236EA,R245FA,R600A,R600,R601A,R601
0,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
1,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
2,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
3,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
4,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
5,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
6,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
7,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
8,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
9,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
10,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
11,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
12,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
13,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
14,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
15,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
16,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
17,4187.12,4783.88,4305.06,4463.0,4379.62,4473.79,4346.99,4240.85,4233.91
18,4058.95,4640.39,4191.13,4248.82,4178.98,4252.23,4147.92,4053.41,4047.48
19,3952.94,4477.42,4106.29,4055.16,3995.11,4054.19,3965.9,3881.55,3876.32
20,3869.7,4257.95,3980.85,3880.32,3828.25,3876.51,3800.39,3724.49,3719.96
21,3742.93,4065.98,3883.38,3721.47,3675.76,3715.62,3649.17,3580.51,3576.53
22,3655.77,3893.56,3805.3,3576.27,3535.78,3569.01,3510.24,3448.1,3444.44
23,3539.69,3735.75,3731.83,3442.83,3406.81,3434.42,3382.2,3325.39,3322.21
24,3481.27,3589.58,3664.07,3319.68,3287.43,3310.57,3263.86,3211.7,3208.82
25,3403.66,3453.03,3594.72,3205.6,3176.33,3195.8,3153.67,3105.78,3103.31
26,3301.2,3324.75,3507.79,3099.54,3073.17,3089.3,3051.28,3007.09,3004.95
27,3253.08,3203.62,3369.43,3000.68,2976.67,2990.12,2955.54,2914.62,2912.58
28,3169.26,3088.84,3243.32,2908.35,2886.03,2897.52,2865.79,2827.95,2826.12
29,3091.27,2979.81,3130.99,2821.58,2801.28,2810.56,2781.72,2746.35,2744.89
30,2991.87,2875.94,3028.25,2739.95,2721.44,2729.08,2702.53,2669.53,2668.15
31,2901.03,2776.75,2932.59,2663.22,2646.13,2652.16,2627.63,2597.01,2595.74
32,2817.08,2688.71,2843.07,2590.85,2574.97,2579.75,2557.09,2528.57,2527.32
33,2738.73,2609.17,2757.9,2522.29,2507.65,2511.21,2490.43,2463.37,2462.48
34,2664.99,2535.42,2676.96,2457.41,2443.86,2446.34,2427.16,2401.6,2400.91
35,2595.19,2466.53,2599.84,2395.75,2383.43,2384.91,2366.94,2343.1,2342.42
36,2528.72,2401.77,2525.71,2337.25,2325.67,2326.46,2309.82,2287.45,2286.74
37,2465.27,2340.7,2454.78,2281.63,2270.86,2270.78,2255.18,2234.21,2233.68
38,2404.66,2282.85,2386.42,2228.58,2218.36,2217.84,2203.42,2183.59,2183.09
39,2346.28,2227.98,2320.62,2177.97,2168.44,2167.23,2153.87,2134.94,2134.68
40,2289.9,2175.92,2257.13,2129.56,2120.7,2119.01,2106.45,2088.62,2088.41
