year,R1234YF,R1234ZEE,R227EA,R236EA,R245FA,R600A,R600,R601A,R601
0,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
1,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
2,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
3,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
4,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
5,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
6,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
7,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
8,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
9,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
10,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
11,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
12,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
13,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
14,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
15,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
16,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
17,44.63,50.49,46.08,47.09,46.21,47.2,45.86,44.74,44.67
18,44.63,50.49,46.08,46.43,45.67,46.47,45.33,44.29,44.23
19,44.63,50.49,46.08,45.83,45.15,45.81,44.82,43.86,43.8
20,44.63,49.68,46.08,45.27,44.67,45.23,44.34,43.46,43.4
21,44.63,48.91,46.08,44.76,44.21,44.69,43.89,43.07,43.02
22,44.63,48.22,46.08,44.29,43.79,44.2,43.47,42.7,42.66
23,44.63,47.57,46.08,43.84,43.38,43.73,43.07,42.35,42.31
24,44.63,46.95,46.08,43.42,43.0,43.3,42.69,42.01,41.97
25,44.63,46.34,46.08,43.02,42.63,42.89,42.32,41.68,41.65
26,44.63,45.74,46.08,42.64,42.28,42.5,41.98,41.37,41.34
27,44.63,45.14,46.08,42.28,41.94,42.13,41.64,41.07,41.04
28,44.63,44.54,46.08,41.94,41.61,41.78,41.32,40.78,40.75
29,44.63,43.94,46.08,41.6,41.3,41.44,41.02,40.49,40.47
30,44.63,43.33,45.63,41.28,41.0,41.12,40.72,40.22,40.2
31,44.63,42.72,45.12,40.98,40.71,40.81,40.43,39.96,39.94
32,44.23,42.22,44.64,40.68,40.43,40.51,40.15,39.7,39.68
33,43.86,41.78,44.17,40.39,40.16,40.22,39.88,39.45,39.44
34,43.51,41.39,43.7,40.12,39.9,39.94,39.62,39.21,39.19
35,43.16,41.02,43.24,39.85,39.64,39.67,39.37,38.97,38.96
36,42.83,40.68,42.78,39.59,39.39,39.4,39.12,38.74,38.73
37,42.5,40.35,42.32,39.34,39.15,39.15,38.88,38.52,38.51
38,42.18,40.04,41.86,39.09,38.91,38.9,38.65,38.3,38.29
39,41.86,39.75,41.4,38.85,38.68,38.66,38.42,38.09,38.08
40,41.53,39.46,40.93,38.62,38.46,38.43,38.2,37.88,37.87
