year,R1234YF,R1234ZEE,R227EA,R236EA,R245FA,R600A,R600,R601A,R601
0,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
1,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
2,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
3,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
4,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
5,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
6,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
7,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
8,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
9,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
10,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
11,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
12,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
13,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
14,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
15,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
16,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
17,4698.2,4107.86,4587.12,4067.52,4021.31,4006.29,4020.27,4101.72,4073.78
18,4493.05,3945.13,4385.2,3946.7,3899.18,3900.96,3925.88,3946.41,3924.0
19,4321.82,3783.65,4175.58,3836.95,3778.35,3802.18,3786.58,3841.04,3808.59
20,4134.41,3702.74,4037.28,3736.76,3671.66,3701.28,3679.97,3724.42,3689.81
21,4020.21,3615.51,3887.99,3644.94,3572.15,3608.03,3580.53,3608.26,3592.17
22,3870.12,3521.44,3733.04,3547.74,3491.85,3510.15,3487.55,3514.1,3496.37
23,3778.51,3435.18,3589.61,3457.02,3379.31,3430.86,3400.33,3419.19,3399.19
24,3639.77,3348.26,3451.35,3372.38,3304.82,3345.2,3318.12,3340.63,3319.16
25,3520.09,3268.93,3326.98,3294.89,3227.6,3265.08,3241.06,3256.51,3232.84
26,3441.04,3190.95,3247.63,3221.59,3146.87,3203.85,3167.9,3184.69,3159.37
27,3322.48,3114.22,3190.34,3151.92,3084.94,3125.88,3090.19,3109.4,3092.07
28,3263.48,3043.83,3139.84,3081.04,3012.1,3060.95,3033.43,3020.64,3018.55
29,3175.81,2975.09,3084.26,3018.24,2949.62,2999.43,2962.62,2979.27,2939.36
30,3116.17,2914.01,3030.78,2963.44,2907.3,2940.43,2895.85,2914.59,2890.7
31,3056.93,2855.1,2964.57,2898.2,2833.78,2877.24,2847.48,2861.16,2827.2
32,2998.61,2829.98,2909.43,2851.79,2779.87,2830.94,2786.23,2802.15,2783.71
33,2938.93,2778.66,2853.76,2799.72,2728.27,2779.8,2750.45,2745.73,2725.39
34,2883.82,2735.61,2800.8,2741.89,2678.87,2726.86,2693.15,2675.72,2669.56
35,2828.87,2695.18,2751.47,2688.34,2638.28,2683.67,2646.26,2640.06,2623.04
36,2776.4,2656.96,2699.22,2656.24,2601.8,2625.12,2601.1,2597.78,2580.73
37,2724.53,2605.43,2651.05,2604.36,2549.09,2582.02,2550.85,2558.17,2546.89
38,2671.47,2571.17,2607.61,2561.99,2507.27,2540.47,2509.16,2512.04,2498.84
39,2629.47,2531.09,2565.32,2528.88,2466.82,2500.6,2469.14,2467.83,2452.62
40,2580.31,2492.26,2524.05,2489.61,2421.44,2462.07,2430.68,2439.85,2408.0
