year,R1234YF_HP_K,R1234YF_LP_K,R1234ZEE_HP_K,R1234ZEE_LP_K,R227EA_HP_K,R227EA_LP_K,R236EA_HP_K,R236EA_LP_K,R245FA_HP_K,R245FA_LP_K,R600A_HP_K,R600A_LP_K,R600_HP_K,R600_LP_K,R601A_HP_K,R601A_LP_K,R601_HP_K,R601_LP_K
0,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
1,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
2,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
3,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
4,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
5,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
6,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
7,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
8,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
9,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
10,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
11,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
12,17.26,5.1,17.94,5.11,16.05,5.0,27.83,23.1,31.28,26.43,26.85,23.81,30.86,26.83,33.44,27.8,34.12,28.72
