year,lmtd_hp_K,lmtd_lp_K
0,17.26,5.1
1,17.26,5.1
2,17.26,5.1
3,17.26,5.1
4,17.26,5.1
5,17.26,5.1
6,17.26,5.1
7,17.26,5.1
8,17.26,5.1
9,17.26,5.1
10,17.26,5.1
11,17.26,5.1
12,17.26,5.1
13,17.26,5.1
14,17.26,5.1
15,17.26,5.1
16,17.26,5.1
17,17.26,5.14
18,17.26,5.24
19,17.26,5.34
20,17.26,5.46
21,17.26,5.67
22,17.26,5.84
23,17.26,5.86
24,17.26,5.87
25,17.26,5.95
26,17.26,5.95
27,17.26,6.13
28,17.26,6.58
29,17.26,7.2
30,17.26,7.89
31,17.26,8.73
32,17.26,9.52
33,17.48,10.26
34,17.74,10.97
35,17.93,11.65
36,18.08,12.3
37,18.18,12.86
38,18.27,13.35
39,18.3,13.6
40,18.33,13.82
