fluid,year,T_HS_in_K,T_HS_in_C,ratio_unused_total_percent,ratio_Ede_total_percent,ratio_Edt_total_percent,ratio_Edc_total_percent,ratio_Edp_total_percent,ratio_sum_total_percent
R1234YF,40,389.809810262596,116.65981026259601,19.97212812393959,25.17266263027303,22.26521850054378,28.99833036576714,3.591660379476485,100.00000000000003
R1234YF,35,394.463058243324,121.31305824332401,17.215138537835646,24.987807791954104,23.762690063479553,30.125509550048328,3.908854056682308,99.99999999999993
R1234YF,30,400.072878133339,126.922878133339,14.514628503348751,24.054802451459114,25.705259267938523,31.473222003050953,4.252087774202625,99.99999999999996
R1234YF,25,407.055256013421,133.90525601342102,13.032333480208969,25.526310533147928,25.557568990043265,31.899165165361513,3.984621831238315,99.99999999999999
R1234YF,20,416.14796566506,142.99796566506,12.054278127971866,28.04142641215979,24.27074499126052,32.01125108338181,3.6222993852260985,100.00000000000009
R1234YF,0,423.15,150.0,11.20059099795597,29.737032398666578,22.427401521576293,33.38641301620796,3.248562065593155,99.99999999999994
R1234YF,5,423.15,150.0,11.20059099795597,29.737032398666578,22.427401521576293,33.38641301620796,3.248562065593155,99.99999999999994
R1234YF,10,423.15,150.0,11.20059099795597,29.737032398666578,22.427401521576293,33.38641301620796,3.248562065593155,99.99999999999994
R1234YF,15,423.15,150.0,11.20059099795597,29.737032398666578,22.427401521576293,33.38641301620796,3.248562065593155,99.99999999999994
R1234ZEE,40,389.809810262596,116.65981026259601,25.34246750489444,28.356319816290235,18.788092976331864,25.654840735002328,1.8582789674811044,99.99999999999996
R1234ZEE,35,394.463058243324,121.31305824332401,23.989288195722956,27.9290928783141,20.128874923580334,25.805035596193104,2.1477084061895435,100.00000000000003
R1234ZEE,30,400.072878133339,126.922878133339,22.52435832004951,26.006978259391254,22.521942375353643,26.14661515736838,2.8001058878371734,99.99999999999996
R1234ZEE,25,407.055256013421,133.90525601342102,18.239973711992103,24.91537476039498,25.38309067926904,28.13729444705794,3.324266401286034,100.0000000000001
R1234ZEE,20,416.14796566506,142.99796566506,14.146034836210136,22.52665288725529,28.977883459140237,30.42094183657575,3.9284869808185694,99.99999999999999
R1234ZEE,0,423.15,150.0,12.487675132178005,21.979083013262372,30.887269760778633,30.478129898974395,4.167842194806563,99.99999999999999
R1234ZEE,5,423.15,150.0,12.487675132178005,21.979083013262372,30.887269760778633,30.478129898974395,4.167842194806563,99.99999999999999
R1234ZEE,10,423.15,150.0,12.487675132178005,21.979083013262372,30.887269760778633,30.478129898974395,4.167842194806563,99.99999999999999
R1234ZEE,15,423.15,150.0,12.487675132178005,21.979083013262372,30.887269760778633,30.478129898974395,4.167842194806563,99.99999999999999
R227EA,40,389.809810262596,116.65981026259601,22.504862722063947,25.264677323544667,20.21442037745089,29.382143200164528,2.633896376775942,99.99999999999997
R227EA,35,394.463058243324,121.31305824332401,19.370320652911833,24.274797577582806,22.160214908716725,31.188723615198604,3.0059432455900374,100.0
R227EA,30,400.072878133339,126.922878133339,16.018927163028554,22.973188724030447,24.322466047073153,33.2874684513489,3.397949614518995,100.00000000000004
R227EA,25,407.055256013421,133.90525601342102,13.731002923147589,19.89682868478472,27.42721670419382,35.0883646427254,3.8565870451484248,99.99999999999996
R227EA,20,416.14796566506,142.99796566506,12.040593435725757,23.260922535606632,23.905572148610254,37.64036099609076,3.1525508839665073,99.99999999999991
R227EA,0,423.15,150.0,11.323299932346988,23.951669074122204,22.390433246715936,39.43941757800694,2.8951801688079173,99.99999999999997
R227EA,5,423.15,150.0,11.323299932346988,23.951669074122204,22.390433246715936,39.43941757800694,2.8951801688079173,99.99999999999997
R227EA,10,423.15,150.0,11.323299932346988,23.951669074122204,22.390433246715936,39.43941757800694,2.8951801688079173,99.99999999999997
R227EA,15,423.15,150.0,11.323299932346988,23.951669074122204,22.390433246715936,39.43941757800694,2.8951801688079173,99.99999999999997
R236EA,40,389.809810262596,116.65981026259601,26.443252369422737,29.80582406927311,16.510968886528296,26.534457044395964,0.7054976303798786,100.0
R236EA,35,394.463058243324,121.31305824332401,25.666241598670947,29.756392489763545,17.253620633136574,26.545493292339433,0.7782519860894881,99.99999999999999
R236EA,30,400.072878133339,126.922878133339,23.95953391768065,30.083775715248695,18.183239796394993,26.90170208702066,0.8717484836549781,99.99999999999997
R236EA,25,407.055256013421,133.90525601342102,22.393606344620707,29.98234933903104,19.372941123485106,27.243169550527856,1.0079336423353238,100.00000000000001
R236EA,20,416.14796566506,142.99796566506,20.332827930354895,29.495231559985065,21.065711999992097,27.874751741668486,1.2314767679994014,99.99999999999994
R236EA,0,423.15,150.0,18.89163452182954,28.58418816799407,22.589704279486526,28.465442172269693,1.469030858420153,99.99999999999999
R236EA,5,423.15,150.0,18.89163452182954,28.58418816799407,22.589704279486526,28.465442172269693,1.469030858420153,99.99999999999999
R236EA,10,423.15,150.0,18.89163452182954,28.58418816799407,22.589704279486526,28.465442172269693,1.469030858420153,99.99999999999999
R236EA,15,423.15,150.0,18.89163452182954,28.58418816799407,22.589704279486526,28.465442172269693,1.469030858420153,99.99999999999999
R245FA,40,389.809810262596,116.65981026259601,28.64417514349083,29.788062687480675,16.265971057256582,24.824317830525175,0.4774732812467882,100.00000000000004
R245FA,35,394.463058243324,121.31305824332401,27.297838875899817,30.26736270438478,16.974801370600797,24.93862122508024,0.5213758240343747,100.00000000000001
R245FA,30,400.072878133339,126.922878133339,25.752665300728506,30.74746616345752,17.825066085634717,25.095116608647476,0.5796858415318075,100.00000000000003
R245FA,25,407.055256013421,133.90525601342102,24.4989447181748,30.81190113838486,18.884611108866682,25.138069121251192,0.6664739133225535,100.00000000000009
R245FA,20,416.14796566506,142.99796566506,22.58029153659725,30.888833106111687,20.31897133959882,25.41701727304312,0.7948867446491119,99.99999999999997
R245FA,0,423.15,150.0,21.124413979941373,30.74044560473302,21.494358071976844,25.724557609202133,0.9162247341466078,99.99999999999999
R245FA,5,423.15,150.0,21.124413979941373,30.74044560473302,21.494358071976844,25.724557609202133,0.9162247341466078,99.99999999999999
R245FA,10,423.15,150.0,21.124413979941373,30.74044560473302,21.494358071976844,25.724557609202133,0.9162247341466078,99.99999999999999
R245FA,15,423.15,150.0,21.124413979941373,30.74044560473302,21.494358071976844,25.724557609202133,0.9162247341466078,99.99999999999999
R600A,40,389.809810262596,116.65981026259601,27.483039336629076,29.28701500788436,16.898984214989497,25.25186626523403,1.0790951752630162,99.99999999999999
R600A,35,394.463058243324,121.31305824332401,26.01699207509176,29.66686142912801,17.70406317411858,25.43505362681691,1.1770296948447432,100.0
R600A,30,400.072878133339,126.922878133339,24.759820981987744,29.701548498709762,18.694046212010914,25.529988765664918,1.3145955416266186,99.99999999999996
R600A,25,407.055256013421,133.90525601342102,23.272782018506042,29.50919288737862,19.99289308636762,25.71123965846939,1.5138923492783352,100.0
R600A,20,416.14796566506,142.99796566506,21.153306903073986,28.918669934137643,21.901495754795945,26.18363372639314,1.8428936815992707,99.99999999999997
R600A,0,423.15,150.0,19.940170090910854,27.518681883514816,23.77052953058532,26.533392149123483,2.2372263458654684,99.99999999999994
R600A,5,423.15,150.0,19.940170090910854,27.518681883514816,23.77052953058532,26.533392149123483,2.2372263458654684,99.99999999999994
R600A,10,423.15,150.0,19.940170090910854,27.518681883514816,23.77052953058532,26.533392149123483,2.2372263458654684,99.99999999999994
R600A,15,423.15,150.0,19.940170090910854,27.518681883514816,23.77052953058532,26.533392149123483,2.2372263458654684,99.99999999999994
R600,40,389.809810262596,116.65981026259601,28.67141972997958,29.61714485049788,16.318391123654525,24.700998434347355,0.6920458615206625,100.0
R600,35,394.463058243324,121.31305824332401,27.407851366552965,30.031532240344017,17.024382126076734,24.783522410663203,0.7527118563630613,99.99999999999999
R600,30,400.072878133339,126.922878133339,26.400444223548654,30.142292470977747,17.866546048431605,24.757684207510618,0.8330330495313747,100.0
R600,25,407.055256013421,133.90525601342102,24.58379732543676,30.546838368186208,18.937173586173948,24.99023847755536,0.9419522426477361,99.99999999999999
R600,20,416.14796566506,142.99796566506,22.858069054117223,30.45460434410387,20.370701018138504,25.207898526057196,1.1087270575831811,99.99999999999997
R600,0,423.15,150.0,21.64623978370978,30.102299359720586,21.546081916326195,25.436911128130546,1.2684678121129214,100.00000000000003
R600,5,423.15,150.0,21.64623978370978,30.102299359720586,21.546081916326195,25.436911128130546,1.2684678121129214,100.00000000000003
R600,10,423.15,150.0,21.64623978370978,30.102299359720586,21.546081916326195,25.436911128130546,1.2684678121129214,100.00000000000003
R600,15,423.15,150.0,21.64623978370978,30.102299359720586,21.546081916326195,25.436911128130546,1.2684678121129214,100.00000000000003
R601A,40,389.809810262596,116.65981026259601,28.775211049146332,29.945171427799274,15.492306847760041,25.487234305658298,0.3000763696359873,99.99999999999993
R601A,35,394.463058243324,121.31305824332401,28.04861161186394,30.07859788015765,16.068648656025463,25.47769187130597,0.32644998064692166,99.99999999999996
R601A,30,400.072878133339,126.922878133339,26.540389956709028,30.612303594977625,16.76612825801165,25.722894939835612,0.3582832504660449,99.99999999999996
R601A,25,407.055256013421,133.90525601342102,25.059592602003256,30.953599487449285,17.600558420480912,25.984179940208193,0.4020695498583868,100.00000000000003
R601A,20,416.14796566506,142.99796566506,23.149175181564765,31.279354313774252,18.663003266226614,26.444686976275772,0.4637802621585762,99.99999999999999
R601A,0,423.15,150.0,21.679062464702653,31.419803623082853,19.468577900503764,26.914556107904335,0.5179999038064235,100.00000000000003
R601A,5,423.15,150.0,21.679062464702653,31.419803623082853,19.468577900503764,26.914556107904335,0.5179999038064235,100.00000000000003
R601A,10,423.15,150.0,21.679062464702653,31.419803623082853,19.468577900503764,26.914556107904335,0.5179999038064235,100.00000000000003
R601A,15,423.15,150.0,21.679062464702653,31.419803623082853,19.468577900503764,26.914556107904335,0.5179999038064235,100.00000000000003
R601,40,389.809810262596,116.65981026259601,29.709287391473403,29.715432993996814,15.427495725839766,24.918844742828323,0.22893914586168346,100.0
