year,ratio_Ede_pre_percent,ratio_Ede_hp_percent,ratio_Ede_lp_percent,ratio_Edt_h_percent,ratio_Edt_l_percent,ratio_Edp_1_percent,ratio_Edp_2_percent,ratio_Edc_plus_Edmix_percent
0,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
1,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
2,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
3,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
4,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
5,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
6,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
7,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
8,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
9,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
10,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
11,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
12,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
13,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
14,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
15,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
16,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
17,16.55,16.78,0.16,0.61,24.64,3.52,0.14,37.6
18,16.55,16.46,0.08,1.01,24.64,3.52,0.14,37.6
19,16.55,16.46,0.08,1.01,24.76,3.4,1.24,36.5
20,16.55,15.24,0.14,2.17,24.76,3.4,1.24,36.5
21,6.27,25.07,0.59,14.02,12.91,1.78,2.86,36.5
22,6.27,24.42,0.64,14.61,12.91,1.78,2.86,36.5
23,6.27,24.42,0.64,14.61,12.91,1.78,2.87,36.49
24,6.27,23.08,0.62,15.97,12.91,1.78,2.87,36.49
25,6.27,22.45,0.64,16.58,12.91,1.78,2.87,36.49
26,6.27,22.18,0.91,16.58,12.91,1.78,2.87,36.49
27,6.27,21.06,2.03,16.58,12.91,1.78,2.87,36.49
28,6.27,21.06,2.03,16.58,12.91,1.13,3.52,36.49
29,6.27,21.06,2.03,16.58,12.91,1.13,3.52,36.49
30,6.27,21.06,2.03,16.58,12.91,1.13,3.52,36.49
31,6.27,21.06,2.03,16.58,12.91,1.13,3.52,36.49
32,6.27,21.06,2.03,16.58,12.91,1.13,3.52,36.49
33,6.27,21.06,2.03,16.58,12.91,1.13,3.53,36.48
34,6.27,21.06,2.03,16.58,12.91,1.13,3.58,36.44
35,6.27,21.06,2.03,16.58,12.94,1.1,3.62,36.39
36,6.27,21.06,2.03,16.58,13.02,1.02,3.65,36.36
37,6.27,21.06,2.03,16.58,13.1,0.94,3.69,36.32
38,6.27,21.06,2.03,16.58,13.19,0.85,3.73,36.28
39,6.27,20.98,2.11,16.58,13.24,0.8,3.73,36.28
40,6.27,20.9,2.19,16.58,13.33,0.71,3.78,36.24
